City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,rikitea,PF,73.62,broken clouds,-23.1203,-134.9692,People ThankYou
4,sao miguel,BR,81.37,clear sky,-5.4667,-35.3667,Maracajaú Reef
8,atuona,PF,77.7,few clouds,-9.8,-139.0333,Villa Enata
11,saint-leu,RE,72.46,clear sky,-21.15,55.2833,La Caz Oceane
13,carmen,MX,87.84,broken clouds,18.6333,-91.8333,Hotel Lossandes
15,bambous virieux,MU,72.21,light rain,-20.3428,57.7575,Casa Tia Villa
16,saint-philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
17,saint george,US,89.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
20,ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
22,lagoa,PT,70.7,scattered clouds,39.05,-27.9833,Casa Das Faias
25,isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
29,sao filipe,CV,80.51,broken clouds,14.8961,-24.4956,Hotel Xaguate
30,langham,CA,74.01,clear sky,52.3668,-106.9679,Shady Rest Motel
31,kushima,JP,72.91,clear sky,31.4583,131.2333,Hanaoka
34,tabuk,PH,73.35,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
36,mazara del vallo,IT,73.99,clear sky,37.6641,12.588,Vizier Resort & Spa
37,riyadh,SA,82.54,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
42,vila franca do campo,PT,73.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
44,cap malheureux,MU,72.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
46,north bend,US,76.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
47,peachland,CA,72.86,few clouds,49.7665,-119.7357,Wine Stopper B&B
50,hithadhoo,MV,82.98,overcast clouds,-0.6,73.0833,Scoop Guest House
54,butaritari,KI,82.44,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
57,kiomboi,TZ,75.11,overcast clouds,-4.2667,34.3667,Reyd's Executive Lodge
61,vaini,TO,75.36,overcast clouds,-21.2,-175.2,Keleti Beach Resort
64,adrar,MR,94.3,clear sky,20.5022,-10.0711,
67,manhumirim,BR,76.6,broken clouds,-20.3578,-41.9581,Palace Hotel de Manhumirim
